"filename", "language", "Dart", "comment", "blank", "total"
"/Users/alljavi/Documents/codigo/tucomunidad/lib/main.dart", "Dart", 9, 0, 0, 9
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createReunion.dart", "Dart", 1, 0, 0, 1
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/home.dart", "Dart", 28, 0, 1, 29
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/instalaciones.dart", "Dart", 29, 0, 0, 29
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/login.dart", "Dart", 1, 0, 0, 1
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/notifications.dart", "Dart", 34, -4, 5, 35
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/instalaciones.dart", "Dart", 171, 0, 7, 178
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/post.dart", "Dart", -13, 13, 0, 0
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/reuniones.dart", "Dart", 13, 0, 1, 14
"Total", "-", 273, 9, 14, 296
